"SERVER";"OBTER_TODOS_ISBNS";"1368054956.929502";"1368054956.930427";"0.000925";
"SERVER";"OBTER_TODOS_ISBNS";"1368054956.967887";"1368054956.968117";"0.000230";
"SERVER";"OBTER_TODOS_ISBNS";"1368054956.999350";"1368054956.999631";"0.000281";
"SERVER";"OBTER_TODOS_ISBNS";"1368054957.027001";"1368054957.027296";"0.000295";
"SERVER";"OBTER_TODOS_ISBNS";"1368054957.058649";"1368054957.058932";"0.000283";
"SERVER";"OBTER_TODOS_ISBNS";"1368054957.086403";"1368054957.086667";"0.000264";
"SERVER";"OBTER_TODOS_ISBNS";"1368054957.114360";"1368054957.114644";"0.000284";
"SERVER";"OBTER_TODOS_ISBNS";"1368054957.141519";"1368054957.141794";"0.000275";
"SERVER";"OBTER_TODOS_ISBNS";"1368054957.168886";"1368054957.169202";"0.000316";
"SERVER";"OBTER_TODOS_ISBNS";"1368054957.199779";"1368054957.200101";"0.000322";
"SERVER";"OBTER_TODOS_ISBNS";"1368054957.227685";"1368054957.227977";"0.000292";
"SERVER";"OBTER_TODOS_ISBNS";"1368054957.255192";"1368054957.255472";"0.000280";
"SERVER";"OBTER_TODOS_ISBNS";"1368054957.282548";"1368054957.282834";"0.000286";
"SERVER";"OBTER_TODOS_ISBNS";"1368054957.309908";"1368054957.310235";"0.000327";
"SERVER";"OBTER_TODOS_ISBNS";"1368054957.337165";"1368054957.337454";"0.000289";
"SERVER";"OBTER_TODOS_ISBNS";"1368054957.367202";"1368054957.367418";"0.000216";
"SERVER";"OBTER_TODOS_ISBNS";"1368054957.395729";"1368054957.396018";"0.000289";
"SERVER";"OBTER_TODOS_ISBNS";"1368054957.423223";"1368054957.423517";"0.000294";
"SERVER";"OBTER_TODOS_ISBNS";"1368054957.450438";"1368054957.450723";"0.000285";
"SERVER";"OBTER_TODOS_ISBNS";"1368054957.477938";"1368054957.478220";"0.000282";
"SERVER";"OBTER_TODOS_ISBNS";"1368054957.504848";"1368054957.505147";"0.000299";
"SERVER";"OBTER_TODOS_ISBNS";"1368054957.532902";"1368054957.533228";"0.000326";
"SERVER";"OBTER_TODOS_ISBNS";"1368054957.564210";"1368054957.564479";"0.000269";
"SERVER";"OBTER_TODOS_ISBNS";"1368054957.591567";"1368054957.591847";"0.000280";
"SERVER";"OBTER_TODOS_ISBNS";"1368054957.618827";"1368054957.619125";"0.000298";
"SERVER";"OBTER_TODOS_ISBNS";"1368054957.646093";"1368054957.646403";"0.000310";
"SERVER";"OBTER_TODOS_ISBNS";"1368054957.673336";"1368054957.673628";"0.000292";
"SERVER";"OBTER_TODOS_ISBNS";"1368054957.700546";"1368054957.700837";"0.000291";
"SERVER";"OBTER_TODOS_ISBNS";"1368054957.727904";"1368054957.728181";"0.000277";
"SERVER";"OBTER_TODOS_ISBNS";"1368054957.758756";"1368054957.759053";"0.000297";
"SERVER";"OBTER_TODOS_ISBNS";"1368054957.786073";"1368054957.786381";"0.000308";
"SERVER";"OBTER_TODOS_ISBNS";"1368054957.813218";"1368054957.813505";"0.000287";
"SERVER";"OBTER_TODOS_ISBNS";"1368054957.840230";"1368054957.840503";"0.000273";
"SERVER";"OBTER_TODOS_ISBNS";"1368054957.867635";"1368054957.867910";"0.000275";
"SERVER";"OBTER_TODOS_ISBNS";"1368054957.894692";"1368054957.894989";"0.000297";
"SERVER";"OBTER_TODOS_ISBNS";"1368054957.921702";"1368054957.921978";"0.000276";
"SERVER";"OBTER_TODOS_ISBNS";"1368054957.948760";"1368054957.949054";"0.000294";
"SERVER";"OBTER_TODOS_ISBNS";"1368054957.975768";"1368054957.976085";"0.000317";
"SERVER";"OBTER_TODOS_ISBNS";"1368054958.002776";"1368054958.003074";"0.000298";
"SERVER";"OBTER_TODOS_ISBNS";"1368054958.029784";"1368054958.030080";"0.000296";
"SERVER";"OBTER_TODOS_ISBNS";"1368054958.046889";"1368054958.047138";"0.000249";
"SERVER";"OBTER_TODOS_ISBNS";"1368054958.061816";"1368054958.062032";"0.000216";
"SERVER";"OBTER_TODOS_ISBNS";"1368054958.077939";"1368054958.078165";"0.000226";
"SERVER";"OBTER_TODOS_ISBNS";"1368054958.092366";"1368054958.092590";"0.000224";
"SERVER";"OBTER_TODOS_ISBNS";"1368054958.105518";"1368054958.105732";"0.000214";
"SERVER";"OBTER_TODOS_ISBNS";"1368054958.119440";"1368054958.119660";"0.000220";
"SERVER";"OBTER_TODOS_ISBNS";"1368054958.132469";"1368054958.132681";"0.000212";
"SERVER";"OBTER_TODOS_ISBNS";"1368054958.147394";"1368054958.147623";"0.000229";
"SERVER";"OBTER_TODOS_ISBNS";"1368054958.172834";"1368054958.173114";"0.000280";
"SERVER";"OBTER_TODOS_ISBNS";"1368054958.194316";"1368054958.194511";"0.000195";
"SERVER";"OBTER_DESCRICAO_POR_ISBN";"1368054958.216393";"1368054958.216401";"0.000008";
"SERVER";"OBTER_DESCRICAO_POR_ISBN";"1368054958.245732";"1368054958.245740";"0.000008";
"SERVER";"OBTER_DESCRICAO_POR_ISBN";"1368054958.259622";"1368054958.259630";"0.000008";
"SERVER";"OBTER_DESCRICAO_POR_ISBN";"1368054958.272450";"1368054958.272457";"0.000007";
"SERVER";"OBTER_DESCRICAO_POR_ISBN";"1368054958.285420";"1368054958.285428";"0.000008";
"SERVER";"OBTER_DESCRICAO_POR_ISBN";"1368054958.298411";"1368054958.298419";"0.000008";
"SERVER";"OBTER_DESCRICAO_POR_ISBN";"1368054958.312539";"1368054958.312547";"0.000008";
