"CLIENT";"OBTER_TODOS_ISBNS";"1367769278.648931";"1367769278.649429";"0.000498";
"SERVER";"OBTER_TODOS_ISBNS";"1367769278.674114";"1367769278.674382";"0.000268";
"CLIENT";"OBTER_TODOS_ISBNS";"1367769278.674071";"1367769278.674602";"0.000531";
"SERVER";"OBTER_TODOS_ISBNS";"1367769278.699766";"1367769278.700020";"0.000254";
"CLIENT";"OBTER_TODOS_ISBNS";"1367769278.699723";"1367769278.700366";"0.000643";
"SERVER";"OBTER_TODOS_ISBNS";"1367769278.726130";"1367769278.726382";"0.000252";
"CLIENT";"OBTER_TODOS_ISBNS";"1367769278.726088";"1367769278.726573";"0.000485";
"SERVER";"OBTER_TODOS_ISBNS";"1367769278.752138";"1367769278.752382";"0.000244";
"CLIENT";"OBTER_TODOS_ISBNS";"1367769278.752095";"1367769278.752801";"0.000706";
"SERVER";"OBTER_TODOS_ISBNS";"1367769278.778396";"1367769278.778589";"0.000193";
"CLIENT";"OBTER_TODOS_ISBNS";"1367769278.778349";"1367769278.778712";"0.000363";
"SERVER";"OBTER_TODOS_ISBNS";"1367769278.805508";"1367769278.805701";"0.000193";
"CLIENT";"OBTER_TODOS_ISBNS";"1367769278.805462";"1367769278.806060";"0.000598";
"SERVER";"OBTER_TODOS_ISBNS";"1367769278.841206";"1367769278.841410";"0.000204";
"CLIENT";"OBTER_TODOS_ISBNS";"1367769278.841153";"1367769278.841608";"0.000455";
"SERVER";"OBTER_TODOS_ISBNS";"1367769278.867763";"1367769278.867964";"0.000201";
"CLIENT";"OBTER_TODOS_ISBNS";"1367769278.867716";"1367769278.868275";"0.000559";
"SERVER";"OBTER_TODOS_ISBNS";"1367769278.894116";"1367769278.894370";"0.000254";
"CLIENT";"OBTER_TODOS_ISBNS";"1367769278.894071";"1367769278.894552";"0.000481";
"SERVER";"OBTER_TODOS_ISBNS";"1367769278.921076";"1367769278.921321";"0.000245";
"CLIENT";"OBTER_TODOS_ISBNS";"1367769278.921033";"1367769278.921616";"0.000583";
"SERVER";"OBTER_TODOS_ISBNS";"1367769278.947126";"1367769278.947317";"0.000191";
"CLIENT";"OBTER_TODOS_ISBNS";"1367769278.947080";"1367769278.947627";"0.000547";
"SERVER";"OBTER_TODOS_ISBNS";"1367769278.973046";"1367769278.973251";"0.000205";
"CLIENT";"OBTER_TODOS_ISBNS";"1367769278.973002";"1367769278.973447";"0.000445";
"SERVER";"OBTER_TODOS_ISBNS";"1367769278.999239";"1367769278.999487";"0.000248";
"CLIENT";"OBTER_TODOS_ISBNS";"1367769278.999196";"1367769278.999761";"0.000565";
"SERVER";"OBTER_TODOS_ISBNS";"1367769279.025453";"1367769279.025641";"0.000188";
"CLIENT";"OBTER_TODOS_ISBNS";"1367769279.025407";"1367769279.025945";"0.000538";
"SERVER";"OBTER_TODOS_ISBNS";"1367769279.068038";"1367769279.068239";"0.000201";
"CLIENT";"OBTER_TODOS_ISBNS";"1367769279.067993";"1367769279.068436";"0.000443";
"SERVER";"OBTER_TODOS_ISBNS";"1367769279.094736";"1367769279.094996";"0.000260";
"CLIENT";"OBTER_TODOS_ISBNS";"1367769279.094693";"1367769279.095270";"0.000577";
"SERVER";"OBTER_TODOS_ISBNS";"1367769279.121844";"1367769279.122055";"0.000211";
"CLIENT";"OBTER_TODOS_ISBNS";"1367769279.121786";"1367769279.122321";"0.000535";
"SERVER";"OBTER_TODOS_ISBNS";"1367769279.148512";"1367769279.148757";"0.000245";
"CLIENT";"OBTER_TODOS_ISBNS";"1367769279.148468";"1367769279.149012";"0.000544";
"SERVER";"OBTER_TODOS_ISBNS";"1367769279.174220";"1367769279.174455";"0.000235";
"CLIENT";"OBTER_TODOS_ISBNS";"1367769279.174179";"1367769279.174670";"0.000491";
"SERVER";"OBTER_TODOS_ISBNS";"1367769279.200082";"1367769279.200325";"0.000243";
"CLIENT";"OBTER_TODOS_ISBNS";"1367769279.200038";"1367769279.200616";"0.000578";
"SERVER";"OBTER_TODOS_ISBNS";"1367769279.226649";"1367769279.226843";"0.000194";
"CLIENT";"OBTER_TODOS_ISBNS";"1367769279.226605";"1367769279.227102";"0.000497";
"SERVER";"OBTER_DESCRICAO_POR_ISBN";"1367769279.254199";"1367769279.254206";"0.000007";
"CLIENT";"OBTER_DESCRICAO_POR_ISBN";"1367769279.254153";"1367769279.254254";"0.000101";
"SERVER";"OBTER_DESCRICAO_POR_ISBN";"1367769279.297522";"1367769279.297531";"0.000009";
"CLIENT";"OBTER_DESCRICAO_POR_ISBN";"1367769279.297483";"1367769279.297600";"0.000117";
"SERVER";"OBTER_DESCRICAO_POR_ISBN";"1367769279.328995";"1367769279.329001";"0.000006";
"CLIENT";"OBTER_DESCRICAO_POR_ISBN";"1367769279.328968";"1367769279.329098";"0.000130";
"SERVER";"OBTER_DESCRICAO_POR_ISBN";"1367769279.353028";"1367769279.353042";"0.000014";
"CLIENT";"OBTER_DESCRICAO_POR_ISBN";"1367769279.352987";"1367769279.353081";"0.000094";
