CLIENTE;OBTER_TODOS_ISBNS;1369775620515;1369775620536;21;0,021000;
CLIENTE;OBTER_TODOS_ISBNS;1369775620826;1369775620841;15;0,015000;
CLIENTE;OBTER_TODOS_ISBNS;1369775621142;1369775621158;16;0,016000;
CLIENTE;OBTER_TODOS_ISBNS;1369775621450;1369775621466;16;0,016000;
CLIENTE;OBTER_TODOS_ISBNS;1369775621779;1369775621806;27;0,027000;
CLIENTE;OBTER_TODOS_ISBNS;1369775622124;1369775622151;27;0,027000;
CLIENTE;OBTER_TODOS_ISBNS;1369775622446;1369775622474;28;0,028000;
CLIENTE;OBTER_TODOS_ISBNS;1369775622783;1369775622805;22;0,022000;
CLIENTE;OBTER_TODOS_ISBNS;1369775623112;1369775623135;23;0,023000;
CLIENTE;OBTER_TODOS_ISBNS;1369775623438;1369775623454;16;0,016000;
CLIENTE;OBTER_TODOS_ISBNS;1369775623769;1369775623786;17;0,017000;
CLIENTE;OBTER_TODOS_ISBNS;1369775624089;1369775624106;17;0,017000;
CLIENTE;OBTER_TODOS_ISBNS;1369775624398;1369775624419;21;0,021000;
CLIENTE;OBTER_TODOS_ISBNS;1369775624709;1369775624725;16;0,016000;
CLIENTE;OBTER_TODOS_ISBNS;1369775625012;1369775625032;20;0,020000;
